Route_ID,From_Stop,To_Stop,Distance_km,Travel_Time_min
1,Stop_1,Stop_2,2,6
2,Stop_2,Stop_3,3,8
3,Stop_3,Stop_4,1,4
4,Stop_4,Stop_5,4,10
5,Stop_5,Stop_6,2,6
6,Stop_6,Stop_7,3,9
7,Stop_7,Stop_8,2,7
8,Stop_8,Stop_9,5,12
9,Stop_9,Stop_10,3,8
10,Stop_10,Stop_1,6,15
11,Stop_1,Stop_3,4,10
12,Stop_2,Stop_4,5,12
13,Stop_3,Stop_5,2,6
14,Stop_4,Stop_6,3,8
15,Stop_5,Stop_7,4,11
16,Stop_6,Stop_8,2,6
17,Stop_7,Stop_9,3,9
18,Stop_8,Stop_10,4,10
19,Stop_9,Stop_1,5,13
20,Stop_10,Stop_2,6,14
21,Stop_1,Stop_4,5,12
22,Stop_2,Stop_5,4,11
23,Stop_3,Stop_6,6,15
24,Stop_4,Stop_7,3,9
25,Stop_5,Stop_8,5,13
26,Stop_6,Stop_9,4,11
27,Stop_7,Stop_10,6,15
28,Stop_8,Stop_1,3,8
29,Stop_9,Stop_2,4,10
30,Stop_10,Stop_3,5,12
31,Stop_1,Stop_5,6,14
32,Stop_2,Stop_6,5,13
33,Stop_3,Stop_7,4,11
34,Stop_4,Stop_8,6,15
35,Stop_5,Stop_9,3,9
36,Stop_6,Stop_10,4,10
37,Stop_7,Stop_1,5,12
38,Stop_8,Stop_2,6,14
39,Stop_9,Stop_3,4,11
40,Stop_10,Stop_4,5,13
41,Stop_1,Stop_6,7,17
42,Stop_2,Stop_7,6,15
43,Stop_3,Stop_8,5,13
44,Stop_4,Stop_9,7,17
45,Stop_5,Stop_10,6,15
46,Stop_6,Stop_1,5,12
47,Stop_7,Stop_2,4,10
48,Stop_8,Stop_3,6,14
49,Stop_9,Stop_4,5,12
50,Stop_10,Stop_5,4,11
51,Stop_1,Stop_7,6,15
52,Stop_2,Stop_8,7,17
53,Stop_3,Stop_9,6,15
54,Stop_4,Stop_10,7,18
55,Stop_5,Stop_1,5,13
56,Stop_6,Stop_2,4,11
57,Stop_7,Stop_3,6,14
58,Stop_8,Stop_4,5,12
59,Stop_9,Stop_5,7,17
60,Stop_10,Stop_6,6,15
61,Stop_1,Stop_8,7,18
62,Stop_2,Stop_9,6,16
63,Stop_3,Stop_10,5,13
64,Stop_4,Stop_1,6,14
65,Stop_5,Stop_2,4,11
66,Stop_6,Stop_3,7,17
67,Stop_7,Stop_4,5,12
68,Stop_8,Stop_5,6,15
69,Stop_9,Stop_6,4,11
70,Stop_10,Stop_7,7,18
71,Stop_1,Stop_9,6,16
72,Stop_2,Stop_10,7,18
73,Stop_3,Stop_1,4,10
74,Stop_4,Stop_2,5,12
75,Stop_5,Stop_3,6,14
76,Stop_6,Stop_4,4,11
77,Stop_7,Stop_5,7,17
78,Stop_8,Stop_6,6,15
79,Stop_9,Stop_7,5,12
80,Stop_10,Stop_8,4,11
81,Stop_1,Stop_10,8,20
82,Stop_2,Stop_1,3,8
83,Stop_3,Stop_2,4,10
84,Stop_4,Stop_3,3,8
85,Stop_5,Stop_4,4,10
86,Stop_6,Stop_5,3,8
87,Stop_7,Stop_6,4,10
88,Stop_8,Stop_7,3,8
89,Stop_9,Stop_8,4,10
90,Stop_10,Stop_9,3,8
91,Stop_1,Stop_2,2,6
92,Stop_2,Stop_3,3,8
93,Stop_3,Stop_4,1,4
94,Stop_4,Stop_5,4,10
95,Stop_5,Stop_6,2,6
96,Stop_6,Stop_7,3,9
97,Stop_7,Stop_8,2,7
98,Stop_8,Stop_9,5,12
99,Stop_9,Stop_10,3,8
100,Stop_10,Stop_1,6,15
