Sensor_ID,Location,AQI,PM2_5,PM10
1,Zone_1,85,32.5,78.4
2,Zone_2,110,45.2,120.6
3,Zone_3,95,38.1,90.3
4,Zone_4,210,120.4,260.7
5,Zone_5,160,78.6,180.2
6,Zone_6,300,210.5,350.8
7,Zone_7,55,18.2,45.6
8,Zone_8,180,95.4,200.1
9,Zone_9,240,160.3,290.4
10,Zone_10,130,60.5,140.9
11,Zone_11,90,35.6,88.2
12,Zone_12,275,195.7,320.3
13,Zone_13,145,70.8,165.4
14,Zone_14,60,20.1,50.2
15,Zone_15,320,230.9,380.6
16,Zone_16,200,110.5,240.8
17,Zone_17,170,85.3,190.4
18,Zone_18,105,42.7,115.6
19,Zone_19,260,175.9,310.1
20,Zone_20,75,25.4,65.7
21,Zone_1,155,74.2,170.6
22,Zone_2,225,145.3,270.9
23,Zone_3,98,40.6,92.5
24,Zone_4,185,100.4,210.8
25,Zone_5,140,65.8,155.9
26,Zone_6,310,220.2,360.4
27,Zone_7,65,22.6,55.1
28,Zone_8,195,108.3,230.7
29,Zone_9,245,165.9,295.6
30,Zone_10,125,58.4,135.2
31,Zone_11,88,33.5,85.7
32,Zone_12,270,190.6,315.8
33,Zone_13,150,72.9,168.4
34,Zone_14,70,24.8,60.3
35,Zone_15,330,240.1,390.5
36,Zone_16,205,115.4,245.6
37,Zone_17,175,88.9,195.3
38,Zone_18,115,47.6,125.8
39,Zone_19,255,170.4,305.9
40,Zone_20,80,27.5,70.6
41,Zone_1,165,80.3,185.1
42,Zone_2,230,150.7,275.2
43,Zone_3,100,41.8,95.4
44,Zone_4,190,102.6,215.9
45,Zone_5,135,63.5,150.8
46,Zone_6,305,215.4,355.7
47,Zone_7,58,19.9,48.3
48,Zone_8,185,98.5,205.4
49,Zone_9,250,168.6,300.2
50,Zone_10,120,55.7,130.6
51,Zone_11,92,36.4,90.8
52,Zone_12,265,185.9,310.4
53,Zone_13,148,71.2,166.7
54,Zone_14,68,23.7,58.9
55,Zone_15,325,235.6,385.3
56,Zone_16,210,118.8,250.5
57,Zone_17,178,90.4,198.2
58,Zone_18,118,49.3,128.6
59,Zone_19,258,172.8,308.7
60,Zone_20,82,28.6,72.4
61,Zone_1,170,82.1,188.9
62,Zone_2,235,155.6,280.1
63,Zone_3,102,43.2,98.7
64,Zone_4,195,105.8,220.4
65,Zone_5,138,64.9,152.3
66,Zone_6,315,225.8,365.2
67,Zone_7,62,21.4,52.7
68,Zone_8,188,100.7,208.6
69,Zone_9,252,169.9,302.8
70,Zone_10,128,59.6,138.5
71,Zone_11,94,37.8,93.1
72,Zone_12,268,188.2,312.9
73,Zone_13,152,73.5,170.2
74,Zone_14,72,26.1,62.8
75,Zone_15,328,238.7,388.6
76,Zone_16,215,120.9,255.3
77,Zone_17,180,92.6,200.4
78,Zone_18,120,50.8,130.9
79,Zone_19,262,175.1,312.4
80,Zone_20,85,30.2,75.6
81,Zone_1,175,85.4,192.7
82,Zone_2,240,160.8,285.9
83,Zone_3,105,45.1,100.5
84,Zone_4,198,108.3,225.6
85,Zone_5,142,66.7,158.4
86,Zone_6,318,228.9,368.7
87,Zone_7,60,20.5,50.9
88,Zone_8,190,102.4,210.8
89,Zone_9,255,172.3,305.1
90,Zone_10,132,61.8,142.7
91,Zone_11,96,38.6,95.9
92,Zone_12,272,192.5,318.6
93,Zone_13,155,75.8,172.9
94,Zone_14,74,27.9,64.5
95,Zone_15,332,242.3,392.4
96,Zone_16,218,123.6,258.7
97,Zone_17,182,94.7,202.6
98,Zone_18,122,52.1,133.4
99,Zone_19,265,178.2,315.9
100,Zone_20,88,31.5,78.3
