Item_ID,Food_Item,Expiry_Days,Quantity
1,Milk,3,200
2,Rice,180,500
3,Apple,7,150
4,Banana,4,120
5,Wheat,210,450
6,Orange,6,130
7,Yogurt,5,180
8,Potato,30,600
9,Tomato,6,160
10,Cheese,25,90
11,Milk,2,210
12,Rice,170,480
13,Apple,8,140
14,Banana,5,110
15,Wheat,220,460
16,Orange,7,135
17,Yogurt,6,170
18,Potato,28,590
19,Tomato,5,155
20,Cheese,27,95
21,Milk,4,205
22,Rice,160,470
23,Apple,6,145
24,Banana,3,115
25,Wheat,200,440
26,Orange,5,125
27,Yogurt,4,165
28,Potato,32,610
29,Tomato,7,170
30,Cheese,24,85
31,Milk,5,195
32,Rice,190,510
33,Apple,9,160
34,Banana,6,125
35,Wheat,230,470
36,Orange,8,140
37,Yogurt,7,175
38,Potato,35,620
39,Tomato,8,180
40,Cheese,26,100
41,Milk,1,220
42,Rice,150,460
43,Apple,5,135
44,Banana,2,105
45,Wheat,195,430
46,Orange,4,120
47,Yogurt,3,160
48,Potato,25,580
49,Tomato,4,150
50,Cheese,22,80
51,Milk,6,190
52,Rice,200,520
53,Apple,10,170
54,Banana,7,130
55,Wheat,240,480
56,Orange,9,145
57,Yogurt,8,180
58,Potato,40,650
59,Tomato,9,190
60,Cheese,28,110
61,Milk,7,185
62,Rice,210,530
63,Apple,11,175
64,Banana,8,135
65,Wheat,250,490
66,Orange,10,150
67,Yogurt,9,185
68,Potato,45,680
69,Tomato,10,200
70,Cheese,30,120
71,Milk,8,180
72,Rice,220,540
73,Apple,12,180
74,Banana,9,140
75,Wheat,260,500
76,Orange,11,155
77,Yogurt,10,190
78,Potato,50,700
79,Tomato,11,210
80,Cheese,32,130
81,Milk,9,175
82,Rice,230,550
83,Apple,13,185
84,Banana,10,145
85,Wheat,270,510
86,Orange,12,160
87,Yogurt,11,195
88,Potato,55,720
89,Tomato,12,220
90,Cheese,34,140
91,Milk,10,170
92,Rice,240,560
93,Apple,14,190
94,Banana,11,150
95,Wheat,280,520
96,Orange,13,165
97,Yogurt,12,200
98,Potato,60,750
99,Tomato,13,230
100,Cheese,36,150
