Player_ID,Player_Name,Sport,Score
1,Player_A,Football,78
2,Player_B,Cricket,85
3,Player_C,Basketball,72
4,Player_D,Football,90
5,Player_E,Tennis,68
6,Player_F,Cricket,88
7,Player_G,Badminton,74
8,Player_H,Basketball,81
9,Player_I,Football,77
10,Player_J,Tennis,92
11,Player_K,Cricket,69
12,Player_L,Badminton,83
13,Player_M,Basketball,76
14,Player_N,Football,89
15,Player_O,Tennis,71
16,Player_P,Cricket,94
17,Player_Q,Badminton,80
18,Player_R,Basketball,75
19,Player_S,Football,86
20,Player_T,Tennis,73
21,Player_U,Cricket,91
22,Player_V,Badminton,78
23,Player_W,Basketball,82
24,Player_X,Football,70
25,Player_Y,Tennis,88
26,Player_Z,Cricket,79
27,Player_AA,Badminton,84
28,Player_AB,Basketball,77
29,Player_AC,Football,92
30,Player_AD,Tennis,69
31,Player_AE,Cricket,87
32,Player_AF,Badminton,75
33,Player_AG,Basketball,83
34,Player_AH,Football,90
35,Player_AI,Tennis,72
36,Player_AJ,Cricket,95
37,Player_AK,Badminton,81
38,Player_AL,Basketball,78
39,Player_AM,Football,85
40,Player_AN,Tennis,74
41,Player_AO,Cricket,89
42,Player_AP,Badminton,76
43,Player_AQ,Basketball,84
44,Player_AR,Football,71
45,Player_AS,Tennis,93
46,Player_AT,Cricket,80
47,Player_AU,Badminton,82
48,Player_AV,Basketball,79
49,Player_AW,Football,88
50,Player_AX,Tennis,73
51,Player_AY,Cricket,90
52,Player_AZ,Badminton,77
53,Player_BA,Basketball,85
54,Player_BB,Football,69
55,Player_BC,Tennis,91
56,Player_BD,Cricket,83
57,Player_BE,Badminton,75
58,Player_BF,Basketball,87
59,Player_BG,Football,72
60,Player_BH,Tennis,94
61,Player_BI,Cricket,78
62,Player_BJ,Badminton,81
63,Player_BK,Basketball,84
64,Player_BL,Football,89
65,Player_BM,Tennis,70
66,Player_BN,Cricket,92
67,Player_BO,Badminton,76
68,Player_BP,Basketball,88
69,Player_BQ,Football,73
70,Player_BR,Tennis,95
71,Player_BS,Cricket,85
72,Player_BT,Badminton,79
73,Player_BU,Basketball,82
74,Player_BV,Football,90
75,Player_BW,Tennis,71
76,Player_BX,Cricket,87
77,Player_BY,Badminton,80
78,Player_BZ,Basketball,86
79,Player_CA,Football,74
80,Player_CB,Tennis,93
81,Player_CC,Cricket,83
82,Player_CD,Badminton,78
83,Player_CE,Basketball,89
84,Player_CF,Football,72
85,Player_CG,Tennis,91
86,Player_CH,Cricket,84
87,Player_CI,Badminton,77
88,Player_CJ,Basketball,85
89,Player_CK,Football,70
90,Player_CL,Tennis,92
91,Player_CM,Cricket,88
92,Player_CN,Badminton,79
93,Player_CO,Basketball,83
94,Player_CP,Football,75
95,Player_CQ,Tennis,94
96,Player_CR,Cricket,86
97,Player_CS,Badminton,81
98,Player_CT,Basketball,87
99,Player_CU,Football,73
100,Player_CV,Tennis,95
