SessionID,KioskID,Location,DeviceType,BatteryBefore%,BatteryAfter%,EnergyConsumedWh,StartTime
S001,K01,BusStand,Mobile,12,80,18,09:00
S002,K01,BusStand,Laptop,20,70,55,09:05
S003,K02,MetroStation,Mobile,15,85,20,09:10
S004,K02,MetroStation,Laptop,30,75,48,09:12
S005,K03,University,Mobile,10,90,22,09:15
S006,K03,University,Laptop,25,80,52,09:18
S007,K04,Mall,Mobile,18,88,21,09:20
S008,K04,Mall,Laptop,35,85,50,09:25
S009,K05,Airport,Mobile,8,92,24,09:30
S010,K05,Airport,Laptop,28,78,54,09:32
S011,K06,Hospital,Mobile,14,84,19,09:35
S012,K06,Hospital,Laptop,22,72,49,09:38
S013,K07,Library,Mobile,16,86,20,09:40
S014,K07,Library,Laptop,26,76,51,09:42
S015,K08,ITPark,Mobile,9,89,23,09:45
S016,K08,ITPark,Laptop,33,83,53,09:48
S017,K09,BusStand,Mobile,11,81,18,09:50
S018,K09,BusStand,Laptop,24,74,47,09:52
S019,K10,MetroStation,Mobile,13,83,19,09:55
S020,K10,MetroStation,Laptop,29,79,52,09:58
S021,K01,University,Mobile,7,87,22,10:00
S022,K01,University,Laptop,31,81,54,10:02
S023,K02,Mall,Mobile,12,82,19,10:05
S024,K02,Mall,Laptop,27,77,50,10:08
S025,K03,Airport,Mobile,9,89,23,10:10
S026,K03,Airport,Laptop,34,84,55,10:12
S027,K04,Hospital,Mobile,15,85,20,10:15
S028,K04,Hospital,Laptop,21,71,48,10:18
S029,K05,Library,Mobile,14,84,19,10:20
S030,K05,Library,Laptop,26,76,51,10:22
S031,K06,ITPark,Mobile,10,90,24,10:25
S032,K06,ITPark,Laptop,32,82,53,10:28
S033,K07,BusStand,Mobile,11,81,18,10:30
S034,K07,BusStand,Laptop,28,78,52,10:32
S035,K08,MetroStation,Mobile,13,83,19,10:35
S036,K08,MetroStation,Laptop,35,85,55,10:38
S037,K09,University,Mobile,8,88,23,10:40
S038,K09,University,Laptop,30,80,54,10:42
S039,K10,Mall,Mobile,12,82,19,10:45
S040,K10,Mall,Laptop,25,75,49,10:48
S041,K01,Airport,Mobile,9,89,24,10:50
S042,K01,Airport,Laptop,33,83,54,10:52
S043,K02,Hospital,Mobile,15,85,20,10:55
S044,K02,Hospital,Laptop,20,70,48,10:58
S045,K03,Library,Mobile,14,84,19,11:00
S046,K03,Library,Laptop,27,77,50,11:02
S047,K04,ITPark,Mobile,10,90,24,11:05
S048,K04,ITPark,Laptop,31,81,53,11:08
S049,K05,BusStand,Mobile,11,81,18,11:10
S050,K05,BusStand,Laptop,29,79,52,11:12
S051,K06,MetroStation,Mobile,13,83,19,11:15
S052,K06,MetroStation,Laptop,34,84,55,11:18
S053,K07,University,Mobile,9,89,23,11:20
S054,K07,University,Laptop,30,80,54,11:22
S055,K08,Mall,Mobile,12,82,19,11:25
S056,K08,Mall,Laptop,26,76,51,11:28
S057,K09,Airport,Mobile,8,88,23,11:30
S058,K09,Airport,Laptop,33,83,54,11:32
S059,K10,Hospital,Mobile,15,85,20,11:35
S060,K10,Hospital,Laptop,21,71,48,11:38
S061,K01,Library,Mobile,14,84,19,11:40
S062,K01,Library,Laptop,27,77,50,11:42
S063,K02,ITPark,Mobile,10,90,24,11:45
S064,K02,ITPark,Laptop,32,82,53,11:48
S065,K03,BusStand,Mobile,11,81,18,11:50
S066,K03,BusStand,Laptop,28,78,52,11:52
S067,K04,MetroStation,Mobile,13,83,19,11:55
S068,K04,MetroStation,Laptop,35,85,55,11:58
S069,K05,University,Mobile,9,89,23,12:00
S070,K05,University,Laptop,30,80,54,12:02
S071,K06,Mall,Mobile,12,82,19,12:05
S072,K06,Mall,Laptop,26,76,51,12:08
S073,K07,Airport,Mobile,8,88,23,12:10
S074,K07,Airport,Laptop,33,83,54,12:12
S075,K08,Hospital,Mobile,15,85,20,12:15
S076,K08,Hospital,Laptop,21,71,48,12:18
S077,K09,Library,Mobile,14,84,19,12:20
S078,K09,Library,Laptop,27,77,50,12:22
S079,K10,ITPark,Mobile,10,90,24,12:25
S080,K10,ITPark,Laptop,32,82,53,12:28
S081,K01,BusStand,Mobile,11,81,18,12:30
S082,K01,BusStand,Laptop,29,79,52,12:32
S083,K02,MetroStation,Mobile,13,83,19,12:35
S084,K02,MetroStation,Laptop,34,84,55,12:38
S085,K03,University,Mobile,9,89,23,12:40
S086,K03,University,Laptop,30,80,54,12:42
S087,K04,Mall,Mobile,12,82,19,12:45
S088,K04,Mall,Laptop,26,76,51,12:48
S089,K05,Airport,Mobile,8,88,23,12:50
S090,K05,Airport,Laptop,33,83,54,12:52
S091,K06,Hospital,Mobile,15,85,20,12:55
S092,K06,Hospital,Laptop,21,71,48,12:58
S093,K07,Library,Mobile,14,84,19,13:00
S094,K07,Library,Laptop,27,77,50,13:02
S095,K08,ITPark,Mobile,10,90,24,13:05
S096,K08,ITPark,Laptop,32,82,53,13:08
S097,K09,BusStand,Mobile,11,81,18,13:10
S098,K09,BusStand,Laptop,29,79,52,13:12
S099,K10,MetroStation,Mobile,13,83,19,13:15
S100,K10,MetroStation,Laptop,34,84,55,13:18
